"trialType","rt","response","trial_type","trial_index","time_elapsed","whichPrime","question_order","block","word","color","valence","correct"
"prime","35348","{""responseInput"":""I see a man sitting at his desk, who has fallen asleep while working on his laptop.""}","survey-html-form","2","57334","failure","","","","","",""
"questionnaire","59138","{""prompt1"":0,""prompt2"":2,""prompt3"":1,""prompt4"":3,""prompt5"":1,""prompt6"":1,""prompt7"":3,""prompt8"":1,""prompt9"":3,""prompt10"":2}","survey-likert","3","116476","","[0,1,2,3,4,5,6,7,8,9]","","","","",""
"est","1307","b","html-keyboard-response","6","127960","","","practice","journal","blue","neutral","true"
"est","1285","b","html-keyboard-response","8","129501","","","practice","caramel","blue","neutral","true"
"est","880","r","html-keyboard-response","10","130637","","","practice","receipt","red","neutral","true"
"est","814","b","html-keyboard-response","12","131707","","","practice","laundry","blue","neutral","true"
"est","810","r","html-keyboard-response","14","132772","","","practice","bicycle","red","neutral","true"
"est","896","g","html-keyboard-response","16","133923","","","practice","airport","green","neutral","true"
"est","1229","g","html-keyboard-response","18","135407","","","practice","jacket","green","neutral","true"
"est","781","g","html-keyboard-response","20","136442","","","practice","balloon","green","neutral","true"
"est","617","r","html-keyboard-response","22","137315","","","practice","laundry","red","neutral","true"
"est","660","g","html-keyboard-response","24","138228","","","practice","highway","green","neutral","true"
"est","695","g","html-keyboard-response","26","139178","","","practice","village","green","neutral","true"
"est","730","r","html-keyboard-response","28","140163","","","practice","journal","red","neutral","true"
"est","536","r","html-keyboard-response","30","140954","","","practice","cushion","red","neutral","true"
"est","586","g","html-keyboard-response","32","141795","","","practice","stadium","green","neutral","true"
"est","543","b","html-keyboard-response","34","142593","","","practice","village","blue","neutral","true"
"est","542","b","html-keyboard-response","36","143389","","","practice","diamond","blue","neutral","true"
"est","436","b","html-keyboard-response","38","144080","","","practice","jacket","blue","neutral","true"
"est","880","r","html-keyboard-response","40","145215","","","practice","cushion","red","neutral","true"
"est","614","r","html-keyboard-response","42","146084","","","practice","uniform","red","neutral","true"
"est","834","b","html-keyboard-response","44","147172","","","practice","monitor","blue","neutral","true"
"est","518","g","html-keyboard-response","46","147944","","","practice","picture","green","neutral","true"
"est","592","r","html-keyboard-response","48","148790","","","practice","blanket","red","neutral","true"
"est","805","b","html-keyboard-response","50","149850","","","practice","bicycle","blue","neutral","true"
"est","554","g","html-keyboard-response","52","150658","","","practice","monitor","green","neutral","true"
"est","1843","b","html-keyboard-response","54","152756","","","practice","battery","blue","neutral","true"
"est","642","b","html-keyboard-response","56","153652","","","practice","blanket","blue","neutral","true"
"est","1419","g","html-keyboard-response","58","155327","","","practice","printer","green","neutral","true"
"est","534","g","html-keyboard-response","60","156115","","","practice","helmet","green","neutral","true"
"est","763","r","html-keyboard-response","62","157133","","","practice","caramel","red","neutral","true"
"est","885","b","html-keyboard-response","64","158272","","","practice","plastic","blue","neutral","true"
"est","806","r","html-keyboard-response","66","159332","","","practice","machine","red","neutral","true"
"est","529","g","html-keyboard-response","68","160115","","","practice","holiday","green","neutral","true"
"est","1550","r","html-keyboard-response","70","161920","","","practice","helmet","red","neutral","true"
"est","1134","g","html-keyboard-response","72","163309","","","practice","curtain","green","neutral","true"
"est","635","r","html-keyboard-response","74","164198","","","practice","balloon","red","neutral","true"
"est","511","g","html-keyboard-response","76","164963","","","practice","elevator","green","neutral","true"
"est","1722","g","html-keyboard-response","79","167943","","","emotionA","plastic","green","neutral","true"
"est","1031","b","html-keyboard-response","81","169227","","","emotionA","monitor","blue","neutral","true"
"est","497","r","html-keyboard-response","83","169979","","","emotionA","library","red","neutral","true"
"est","843","g","html-keyboard-response","85","171076","","","emotionA","downfall","green","emotionA","true"
"est","579","g","html-keyboard-response","87","171909","","","emotionA","stadium","green","neutral","true"
"est","486","g","html-keyboard-response","89","172648","","","emotionA","ceiling","green","neutral","true"
"est","774","b","html-keyboard-response","91","173676","","","emotionA","setback","blue","emotionA","true"
"est","467","r","html-keyboard-response","93","174398","","","emotionA","doubtful","red","emotionA","true"
"est","616","g","html-keyboard-response","95","175268","","","emotionA","mistake","green","emotionA","true"
"est","565","r","html-keyboard-response","97","176086","","","emotionA","disappoint","red","emotionA","true"
"est","732","b","html-keyboard-response","99","177072","","","emotionA","doubtful","blue","emotionA","true"
"est","532","r","html-keyboard-response","101","177858","","","emotionA","struggle","green","emotionA","false"
"est","789","b","html-keyboard-response","103","178902","","","emotionA","laundry","blue","neutral","true"
"est","1116","g","html-keyboard-response","105","180271","","","emotionA","cabinet","green","neutral","true"
"est","1150","b","html-keyboard-response","107","181674","","","emotionA","lantern","blue","neutral","true"
"est","1065","r","html-keyboard-response","109","182994","","","emotionA","setback","red","emotionA","true"
"est","753","g","html-keyboard-response","111","184002","","","emotionA","lantern","green","neutral","true"
"est","917","r","html-keyboard-response","113","185173","","","emotionA","cabinet","red","neutral","true"
"est","1235","b","html-keyboard-response","115","186662","","","emotionA","weakness","green","emotionA","false"
"est","1031","r","html-keyboard-response","117","187947","","","emotionA","frustrate","red","emotionA","true"
"est","560","r","html-keyboard-response","119","188761","","","emotionA","mistake","red","emotionA","true"
"est","1297","b","html-keyboard-response","121","190312","","","emotionA","weakness","blue","emotionA","true"
"est","579","b","html-keyboard-response","123","191145","","","emotionA","defeat","blue","emotionA","true"
"est","608","r","html-keyboard-response","125","192008","","","emotionA","downfall","red","emotionA","true"
"est","669","g","html-keyboard-response","127","192931","","","emotionA","disappoint","green","emotionA","true"
"est","987","b","html-keyboard-response","129","194172","","","emotionA","elevator","blue","neutral","true"
"est","652","b","html-keyboard-response","131","195078","","","emotionA","highway","blue","neutral","true"
"est","708","g","html-keyboard-response","133","196041","","","emotionA","stadium","green","neutral","true"
"est","727","r","html-keyboard-response","135","197022","","","emotionA","uniform","red","neutral","true"
"est","688","b","html-keyboard-response","137","197964","","","emotionA","frustrate","blue","emotionA","true"
"est","620","g","html-keyboard-response","139","198839","","","emotionA","insecurity","green","emotionA","true"
"est","757","b","html-keyboard-response","141","199850","","","emotionA","struggle","blue","emotionA","true"
"est","404","g","html-keyboard-response","143","200509","","","emotionA","cabinet","green","neutral","true"
"est","354","r","html-keyboard-response","145","201118","","","emotionA","battery","red","neutral","true"
"est","734","b","html-keyboard-response","147","202107","","","emotionA","highway","green","neutral","false"
"est","1459","r","html-keyboard-response","149","203821","","","emotionA","sandbox","red","neutral","true"
"est","758","b","html-keyboard-response","152","205837","","","emotionB","sandbox","blue","neutral","true"
"est","684","r","html-keyboard-response","154","206775","","","emotionB","diamond","red","neutral","true"
"est","685","g","html-keyboard-response","156","207716","","","emotionB","champion","green","emotionB","true"
"est","1098","b","html-keyboard-response","158","209069","","","emotionB","uniform","blue","neutral","true"
"est","513","b","html-keyboard-response","160","209837","","","emotionB","curtain","blue","neutral","true"
"est","563","r","html-keyboard-response","162","210654","","","emotionB","superior","red","emotionB","true"
"est","932","b","html-keyboard-response","164","211841","","","emotionB","receipt","blue","neutral","true"
"est","603","r","html-keyboard-response","166","212699","","","emotionB","mastery","red","emotionB","true"
"est","560","r","html-keyboard-response","168","213514","","","emotionB","sandbox","red","neutral","true"
"est","482","b","html-keyboard-response","170","214250","","","emotionB","machine","blue","neutral","true"
"est","665","g","html-keyboard-response","172","215169","","","emotionB","conquer","green","emotionB","true"
"est","767","b","html-keyboard-response","174","216191","","","emotionB","flourish","blue","emotionB","true"
"est","595","r","html-keyboard-response","176","217040","","","emotionB","champion","red","emotionB","true"
"est","466","r","html-keyboard-response","178","217761","","","emotionB","winner","red","emotionB","true"
"est","1230","b","html-keyboard-response","180","219244","","","emotionB","curtain","blue","neutral","true"
"est","980","b","html-keyboard-response","182","220479","","","emotionB","confidence","blue","emotionB","true"
"est","481","b","html-keyboard-response","184","221214","","","emotionB","winner","blue","emotionB","true"
"est","444","g","html-keyboard-response","186","221913","","","emotionB","holiday","green","neutral","true"
"est","345","r","html-keyboard-response","188","222512","","","emotionB","receipt","red","neutral","true"
"est","579","b","html-keyboard-response","190","223346","","","emotionB","victory","blue","emotionB","true"
"est","462","r","html-keyboard-response","192","224062","","","emotionB","battery","red","neutral","true"
"est","538","g","html-keyboard-response","194","224854","","","emotionB","progress","green","emotionB","true"
"est","465","g","html-keyboard-response","196","225573","","","emotionB","plastic","green","neutral","true"
"est","484","r","html-keyboard-response","198","226311","","","emotionB","conquer","red","emotionB","true"
"est","1061","g","html-keyboard-response","200","227626","","","emotionB","progress","green","emotionB","true"
"est","1148","b","html-keyboard-response","202","229029","","","emotionB","glorious","blue","emotionB","true"
"est","745","g","html-keyboard-response","204","230028","","","emotionB","holiday","green","neutral","true"
"est","1771","b","html-keyboard-response","206","232053","","","emotionB","printer","blue","neutral","true"
"est","1845","b","html-keyboard-response","208","234153","","","emotionB","ceiling","blue","neutral","true"
"est","592","r","html-keyboard-response","210","235000","","","emotionB","glorious","red","emotionB","true"
"est","1181","g","html-keyboard-response","212","236435","","","emotionB","printer","green","neutral","true"
"est","1389","r","html-keyboard-response","214","238078","","","emotionB","diamond","red","neutral","true"
"est","1278","b","html-keyboard-response","216","239610","","","emotionB","flourish","blue","emotionB","true"
