"trialType","rt","response","trial_type","trial_index","time_elapsed","whichPrime","question_order","block","word","color","valence","correct"
"prime","26418","{""responseInput"":""The red person in the center has presumably won a trophy, which they hold up while a group of blue people observe from behind.""}","survey-html-form","2","29844","success","","","","","",""
"questionnaire","20293","{""prompt1"":3,""prompt2"":3,""prompt3"":4,""prompt4"":2,""prompt5"":0,""prompt6"":1,""prompt7"":3,""prompt8"":0,""prompt9"":3,""prompt10"":2}","survey-likert","3","50140","","[0,1,2,3,4,5,6,7,8,9]","","","","",""
"est","724","r","html-keyboard-response","6","55508","","","practice","library","red","neutral","true"
"est","520","r","html-keyboard-response","8","56283","","","practice","library","red","neutral","true"
"est","556","b","html-keyboard-response","10","57094","","","practice","battery","blue","neutral","true"
"est","493","g","html-keyboard-response","12","57842","","","practice","ceiling","green","neutral","true"
"est","510","r","html-keyboard-response","14","58607","","","practice","helmet","red","neutral","true"
"est","808","g","html-keyboard-response","16","59670","","","practice","blanket","green","neutral","true"
"est","428","b","html-keyboard-response","18","60352","","","practice","machine","blue","neutral","true"
"est","530","r","html-keyboard-response","20","61137","","","practice","curtain","red","neutral","true"
"est","555","r","html-keyboard-response","22","61946","","","practice","caramel","red","neutral","true"
"est","486","r","html-keyboard-response","24","62687","","","practice","jacket","red","neutral","true"
"est","569","r","html-keyboard-response","26","63510","","","practice","airport","red","neutral","true"
"est","408","r","html-keyboard-response","28","64173","","","practice","receipt","red","neutral","true"
"est","576","b","html-keyboard-response","30","65003","","","practice","plastic","blue","neutral","true"
"est","481","g","html-keyboard-response","32","65739","","","practice","village","green","neutral","true"
"est","553","g","html-keyboard-response","34","66546","","","practice","airport","green","neutral","true"
"est","427","g","html-keyboard-response","36","67226","","","practice","printer","green","neutral","true"
"est","554","b","html-keyboard-response","38","68034","","","practice","bicycle","blue","neutral","true"
"est","488","b","html-keyboard-response","40","68777","","","practice","picture","blue","neutral","true"
"est","563","r","html-keyboard-response","42","69594","","","practice","jacket","red","neutral","true"
