"trialType","rt","response","trial_type","trial_index","time_elapsed","whichPrime","question_order","block","word","color","valence","correct"
"prime","54199","{""responseInput"":""I see a group of people achieving something. ""}","survey-html-form","2","77348","success","","","","","",""
"questionnaire","51478","{""prompt1"":3,""prompt2"":3,""prompt3"":3,""prompt4"":2,""prompt5"":2,""prompt6"":3,""prompt7"":4,""prompt8"":1,""prompt9"":1,""prompt10"":1}","survey-likert","3","128830","","[0,1,2,3,4,5,6,7,8,9]","","","","",""
"est","3526","r","html-keyboard-response","6","158498","","","practice","sandbox","red","neutral","true"
"est","5116","b","html-keyboard-response","8","163881","","","practice","jacket","blue","neutral","true"
"est","1065","g","html-keyboard-response","10","165211","","","practice","picture","green","neutral","true"
"est","1937","b","html-keyboard-response","12","167408","","","practice","plastic","blue","neutral","true"
"est","1485","r","html-keyboard-response","14","169154","","","practice","blanket","red","neutral","true"
"est","1777","g","html-keyboard-response","16","171198","","","practice","caramel","green","neutral","true"
"est","1762","b","html-keyboard-response","18","173219","","","practice","cushion","blue","neutral","true"
"est","2464","g","html-keyboard-response","20","175943","","","practice","battery","green","neutral","true"
"est","897","g","html-keyboard-response","22","177102","","","practice","cabinet","green","neutral","true"
"est","1144","r","html-keyboard-response","24","178503","","","practice","elevator","red","neutral","true"
"est","1152","r","html-keyboard-response","26","179915","","","practice","village","red","neutral","true"
"est","1339","g","html-keyboard-response","28","181508","","","practice","village","green","neutral","true"
"est","1581","r","html-keyboard-response","30","183347","","","practice","plastic","red","neutral","true"
"est","1612","g","html-keyboard-response","32","185213","","","practice","airport","green","neutral","true"
"est","1289","g","html-keyboard-response","34","186758","","","practice","bicycle","green","neutral","true"
"est","1769","b","html-keyboard-response","36","188788","","","practice","caramel","blue","neutral","true"
"est","1364","b","html-keyboard-response","38","190419","","","practice","jacket","blue","neutral","true"
"est","2033","g","html-keyboard-response","40","192713","","","practice","balloon","green","neutral","true"
"est","793","r","html-keyboard-response","42","193765","","","practice","journal","red","neutral","true"
"est","3018","g","html-keyboard-response","44","197039","","","practice","picture","green","neutral","true"
"est","1119","b","html-keyboard-response","46","198411","","","practice","airport","blue","neutral","true"
"est","1157","r","html-keyboard-response","48","199830","","","practice","lantern","red","neutral","true"
"est","1016","r","html-keyboard-response","50","201105","","","practice","library","red","neutral","true"
"est","1238","b","html-keyboard-response","52","202604","","","practice","journal","blue","neutral","true"
